"domain_id","domain_url","layer_1_url_id","layer_1_url"
14,"faz.net",31,"https://faz.net/sitemap-index.xml"
14,"faz.net",32,"https://faz.net/sitemap-posts.xml"
14,"faz.net",33,"https://faz.net/sitemap-pages.xml"
14,"faz.net",34,"https://faz.net/sitemap-products.xml"
14,"faz.net",35,"https://faz.net/sitemap-2025-01.xml"
14,"faz.net",36,"https://faz.net/sitemap-2024.xml"
14,"faz.net",37,"https://faz.net/sitemap-en.xml"
14,"faz.net",38,"https://faz.net/sitemap-de.xml"
15,"fnp.de",39,"https://fnp.de/sitemap-index.xml"
16,"fr.de",40,"https://fr.de/sitemap-index.xml"
17,"frankenpost.de",41,"https://www.frankenpost.de/docs.universal_sitemap_frankenpost.xml"
17,"frankenpost.de",42,"https://www.frankenpost.de/docs.newsmap_frankenpost.xml"
18,"freiepresse.de",43,"https://www.freiepresse.de/sitemap.xml"
19,"heidelberg24.de",44,"https://heidelberg24.de/sitemap-index.xml"
20,"heise.de",45,"https://www.heise.de/sitemapindex.xml"
20,"heise.de",46,"https://www.heise.de/bestenlisten/sitemap-articles-index.xml.gz"
20,"heise.de",47,"https://www.heise.de/bestenlisten/sitemap-stories-latest.xml.gz"
20,"heise.de",48,"https://www.heise.de/bestenlisten/sitemap-categories.xml.gz"
20,"heise.de",49,"https://www.heise.de/bestenlisten/sitemap-topics.xml.gz"
20,"heise.de",50,"https://www.heise.de/bestenlisten/sitemap-news.xml.gz"
21,"hna.de",51,"https://www.hna.de/news.xml"
22,"infranken.de",52,"https://www.infranken.de/sitemap-news.sitemap.xml"
22,"infranken.de",53,"https://www.infranken.de/ratgeber.sitemap.xml"
22,"infranken.de",54,"https://www.infranken.de/sitemap.sitemap.xml"
23,"jungefreiheit.de",55,"https://jungefreiheit.de/sitemap-news.xml"
24,"karlsruhe-insider.de",56,"https://www.karlsruhe-insider.de/sitemap_index.xml"
25,"kreiszeitung.de",57,"https://kreiszeitung.de/sitemap-index.xml"
26,"manager-magazin.de",58,"https://www.manager-magazin.de/sitemaps/news-de.xml"
26,"manager-magazin.de",59,"https://www.manager-magazin.de/plus/sitemap.xml"
26,"manager-magazin.de",60,"https://www.manager-magazin.de/sitemap.xml"
27,"mdr.de",61,"https://www.mdr.de/news-sitemap.xml"
27,"mdr.de",62,"https://www.mdr.de/sitemap-index-100.xml"
28,"merkur.de",63,"https://www.merkur.de/news.xml"
29,"mopo.de",64,"https://www.mopo.de/sitemap_index.xml"
30,"morgenpost.de",65,"https://www.morgenpost.de/sitemaps/news.xml"
31,"n-tv.de",66,"https://n-tv.de/sitemap.xml"
31,"n-tv.de",67,"https://n-tv.de/sitemap/"
32,"ndr.de",68,"https://www.ndr.de/sitemap112-sitemap.xml"
32,"ndr.de",69,"https://www.ndr.de/sitemap112-newssitemap.xml"
33,"news.de",70,"https://www.news.de/resources/xml/metasitemap.xml"
33,"news.de",71,"https://www.news.de/googlesitemap/"
34,"newsflash24.de",72,"https://newsflash24.de/sitemap_index.xml"
35,"nordkurier.de",73,"https://www.nordkurier.de/sitemaps/nord/organic-sitemap-index.xml"
36,"noz.de",74,"https://www.noz.de/sitemap.xml"
36,"noz.de",75,"https://www.noz.de/sitemap/googleNewsList.xml"
36,"noz.de",76,"https://www.noz.de/sitemap/artikel/sitemap-current.xml"
37,"nw.de",77,"https://www.nw.de/sitemap_nw_index.xml.gz"
37,"nw.de",78,"https://www.nw.de/sitemap_nw_index_news.xml.gz"
37,"nw.de",79,"https://www.nw.de/_events/sitemap/sitemap_event.xml"
37,"nw.de",80,"https://www.nw.de/_apps/nw/cms-api/evocms/modules/evo_cms_sitemap.php"
38,"presseportal.de",81,"https://www.presseportal.de/sitemap-de-index-stories-blaulicht.xml"
38,"presseportal.de",82,"https://www.presseportal.de/sitemap-de-index-stories-portal.xml"
38,"presseportal.de",83,"https://www.presseportal.de/sitemap-de-index-stories-newsroom.xml"
38,"presseportal.de",84,"https://www.presseportal.de/sitemap-de-latestnews.xml"
38,"presseportal.de",85,"https://www.presseportal.de/sitemap-de-topics.xml"
39,"rollingstone.de",86,"https://www.rollingstone.de/sitemap_index.xml"
40,"rp-online.de",87,"https://rp-online.de/sitemap.xml"
40,"rp-online.de",88,"https://rp-online.de/sitemaps/sitemap.xml"
40,"rp-online.de",89,"https://rp-online.de/sitemap.xml.gz"
41,"rtl.de",90,"https://www.rtl.de/sitemap-news.xml"
41,"rtl.de",91,"https://www.rtl.de/sitemap-index.xml"
41,"rtl.de",92,"https://www.rtl.de/sitemap-section.xml"
42,"ruhr24.de",93,"https://ruhr24.de/sitemap-index.xml"
43,"schwaebische.de",94,"https://www.schwaebische.de/sitemaps/sch/organic-sitemap-index.xml"
44,"shz.de",95,"https://www.shz.de/sitemap.xml"
44,"shz.de",96,"https://www.shz.de/sitemap/googleNewsList.xml"
44,"shz.de",97,"https://www.shz.de/sitemap/artikel/sitemap-current.xml"
45,"spiegel.de",98,"https://www.spiegel.de/sitemaps/news-de.xml"
45,"spiegel.de",99,"https://www.spiegel.de/plus/sitemap.xml"
45,"spiegel.de",100,"https://www.spiegel.de/sitemap.xml"
